,Count_1,1_time,Count_2,2_time,Count_3,3_time,Count_4,4_time,Final_count,Census_1,1_ratio,Census_2,2_ratio,Census_3,3_ratio
All_hay,39,716,36,1638,39,,25,823,39,35,1.114285714,29,1.344827586,20,1.95
Stockyard 1,38,1000,39,1035,38,725,34,957,39,33,1.181818182,24,1.625,28,1.392857143
Stockyard 2,30,1034,31,1034,24,728,30,1031,31,26,1.192307692,25,1.24,26,1.192307692
Roadflats,41,1056,42,1145,46,1024,46,915,46,39,1.179487179,33,1.393939394,36,1.277777778
Swede,14,825,16,902,9,,16,742,25,25,1,8,3.125,8,3.125
Trig,43,1838,40,1438,43,,37,1432,43,33,1.303030303,28,1.535714286,29,1.482758621
Camp,29,1001,10,1053,22,834,19,911,29,9,3.222222222,21,1.380952381,17,1.705882353
North Punchbowl,46,1824,53,934,54,726,53,849,54,44,1.227272727,30,1.8,41,1.317073171
Hay barn,34,1234,33,,,,,,34,22,1.545454545,24,1.416666667,24,1.416666667
,,,,,,,,,,,1.440653174,,1.651344479,,1.651147047
