paddocks,scope,time,census,time_1,,,,paddock,count,obs_type,time,date
Hay,14,710,31,1149,,,,,,,,
Hay,11,801,12,715,,,,,,,,
Hay,13,703,20,,,,,,,,,
Stockyard 1,22,717,33,1402,,,,,,,,
Stockyard 1,33,828,24,1345,,,,,,,,
Stockyard 1,26,709,28,,,,,,,,,
Stockyard 2,19,719,26,1404,,,,,,,,
Stockyard 2,20,826,25,1339,,,,,,,,
Stockyard 2,18,716,26,,,,,,,,,
Swede,11,731,25,1136,,,,,,,,
Swede,9,822,12,1113,,,,,,,,
Swede,9,724,19,,,,,,,,,
Hay east,11,731,25,1136,,,,,,,,
Hay east,7,808,15,1121,,,,,,,,
Hay east,8,705,12,,,,,,,,,
Moes,7,724,3,1346,,,,,,,,
Moes,6,829,0,1351,,,,,,,,
Moes,4,719,0,,,,,,,,,
Cactus,20,757,36,1350,,,,,,,,
Cactus,33,901,33,1354,,,,,,,,
Cactus,28,834,37,,,,,,,,,
North Punchbowl,27,914,44,901,,,,,,,,
North Punchbowl,19,1612,30,1615,,,,,,,,
North Punchbowl,29,1141,41,,,,,,,,,
Staff 3,4,714,7,646,,,,,,,,
Staff 3,6,811,5,732,,,,,,,,
Staff 3,3,701,7,,,,,,,,,
Camp paddock,11,1657,9,1151,,,,,,,,
Camp paddock,9,848,21,1354,,,,,,,,
Camp paddock,8,1323,17,,,,,,,,,
Trig,18,840,33,844,,,,,,,,
Trig,21,1634,28,1614,,,,,,,,
Trig,21,1548,29,,,,,,,,,
Road flats,26,803,39,1122,,,,,,,,
Road flats,24,1404,33,1105,,,,,,,,
Road flats,23,1042,26,,,,,,,,,
